,abstract,authors,chemicals,citation,doi,history,issn,journal,title,volume,volume_issue,year,publication_types_extracted,url
50,"BACKGROUND: Microplastics (MPs) have become a global environmental problem, emerging as contaminants with potentially alarming consequences. However, long-term exposure to polystyrene microspheres (PS-MS) and its effects on diet-induced obesity are not yet fully understood.
OBJECTIVES: We aimed to investigate the effect of PS-MS exposure on high-fat diet (HFD)-induced obesity and underlying mechanisms.
METHODS: In the present study, C57BL/6J mice were fed a normal diet (ND) or a HFD in the absence or presence of PS-MS via oral administration for 8 wk. Antibiotic depletion of the microbiota and fecal microbiota transplantation (FMT) were performed to assess the influence of PS-MS on intestinal microbial ecology. We performed 16S rRNA sequencing to dissect microbial discrepancies and investigated the dysbiosis-associated intestinal integrity and inflammation in serum.
RESULTS: Compared with HFD mice, mice fed the HFD with PS-MS exhibited higher body weight, liver weight, metabolic dysfunction-associated steatotic liver disease (MASLD) activity scores, and mass of white adipose tissue, as well as higher blood glucose and serum lipid concentrations. Furthermore, 16S rRNA sequencing of the fecal microbiota revealed that mice fed the HFD with PS-MS had greater α-diversity and greater relative abundances of Lachnospiraceae, Oscillospiraceae, Bacteroidaceae, Akkermansiaceae, Marinifilaceae, Deferribacteres, and Desulfovibrio, but lower relative abundances of Atopobiaceae, Bifidobacterium, and Parabacteroides. Mice fed the HFD with PS-MS exhibited lower expression of MUC2 mucin and higher levels of lipopolysaccharide and inflammatory cytokines [tumor necrosis factor-α (TNF-α), interleukin-6 (IL-6), IL-1β, and IL-17A] in serum. Correlation analyses revealed that differences in the microbial flora of mice exposed to PS-MS were associated with obesity. Interestingly, microbiota-depleted mice did not show the same PS-MS-associated differences in Muc2 and Tjp1 expression in the distal colon, expression of inflammatory cytokines in serum, or obesity outcomes between HFD and HFD + PS-MS. Importantly, transplantation of feces from HFD + PS-MS mice to microbiota-depleted HFD-fed mice resulted in a lower expression of mucus proteins, higher expression of inflammatory cytokines, and obesity outcomes, similar to the findings in HFD + PS-MS mice.
CONCLUSIONS: Our findings provide a new gut microbiota-driven mechanism for PS-MS-induced obesity in HFD-fed mice, suggesting the need to reevaluate the adverse health effects of MPs commonly found in daily life, particularly in susceptible populations. https://doi.org/10.1289/EHP13913.","['Zhai Z', 'Yang Y', 'Chen S', 'Wu Z']","{'D011137': {'substance_name': 'Polystyrenes', 'registry_number': '0'}, 'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}, 'D012336': {'substance_name': 'RNA, Ribosomal, 16S', 'registry_number': '0'}}","Zhai Z, et al. Long-Term Exposure to Polystyrene Microspheres and High-Fat Diet-Induced Obesity in Mice: Evaluating a Role for Microbiota Dysbiosis. Long-Term Exposure to Polystyrene Microspheres and High-Fat Diet-Induced Obesity in Mice: Evaluating a Role for Microbiota Dysbiosis. 2024; 132:97002. doi: 10.1289/EHP13913",10.1289/EHP13913,"{'medline': datetime.datetime(2024, 9, 3, 0, 0), 'pubmed': datetime.datetime(2024, 9, 3, 0, 0), 'entrez': datetime.datetime(2024, 9, 3, 0, 0), 'pmc-release': datetime.datetime(2024, 9, 3, 0, 0)}",1552-9924,Environ Health Perspect,Long-Term Exposure to Polystyrene Microspheres and High-Fat Diet-Induced Obesity in Mice: Evaluating a Role for Microbiota Dysbiosis.,132.0,132(9),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39226184
59,"Plastics are one of the most pervasive materials on Earth, to which humans are exposed daily. Polystyrene (PS) is a common plastic packaging material. However, the impact of PS on human health remains poorly understood. Therefore, this study aimed to identify intestinal damage induced by PS nanoplastics (PS-NPs) in zebrafish larvae which have a high homology with humans. Four days post fertilization (dpf), zebrafish larvae were exposed to 0-, 10-, and 50-ppm PS-NPs for 48 h Initially, to ascertain if 100 nm PS-NPs could accumulate in the gastrointestinal (GI) tract of zebrafish larvae, the larvae were exposed to red fluorescence-labeled PS-NPs, and at 6 dpf, the larvae were examined using a fluorescence microscope. Analysis of the fluorescence intensity revealed that the GI tract of larvae exposed to 50-ppm exhibited a significantly stronger fluorescence intensity than the other groups. Nonfluorescent PS-NPs were then used in further studies. Scanning electron microscopy (SEM) confirmed the spherical shape of the PS-NPs. Fourier-transform infrared spectroscopy (FT-IR) analysis revealed chemical alterations in the PS-NPs before and after exposure to larvae. The polydispersity index (PDI) value derived using a Zetasizer indicated a stable dispersion of PS-NPs in egg water. Whole-mount apoptotic signal analysis via TUNEL assay showed increased apoptosis in zebrafish larval intestines exposed to 50-ppm PS-NPs. Damage to the intestinal tissue was assessed by Alcian blue (AB) and hematoxylin and eosin (H&E) staining. AB staining revealed increased mucin levels in the zebrafish larval intestines. Thin larval intestinal walls with a decrease in the density of intestinal epithelial cells were revealed by H&E staining. The differentially expressed genes (DEGs) induced by PS-NPs were identified and analyzed. In conclusion, exposure to PS-NPs may damage the intestinal barrier of zebrafish larvae due to increased intestinal permeability, and the in vivo gene network may change in larvae exposed to PS-NPs.","['Lee H', 'Song SJ', 'Kim CS', 'Park B']","{'D011137': {'substance_name': 'Polystyrenes', 'registry_number': '0'}, 'D014874': {'substance_name': 'Water Pollutants, Chemical', 'registry_number': '0'}}","Lee H, et al. Polystyrene nanoplastics-induced intestinal barrier disruption via inflammation and apoptosis in zebrafish larvae (Danio Rerio). Polystyrene nanoplastics-induced intestinal barrier disruption via inflammation and apoptosis in zebrafish larvae (Danio Rerio). 2024; 274:107027. doi: 10.1016/j.aquatox.2024.107027",10.1016/j.aquatox.2024.107027,"{'received': datetime.datetime(2024, 2, 19, 0, 0), 'revised': datetime.datetime(2024, 7, 16, 0, 0), 'accepted': datetime.datetime(2024, 7, 18, 0, 0), 'medline': datetime.datetime(2024, 8, 26, 0, 0), 'pubmed': datetime.datetime(2024, 8, 5, 0, 0), 'entrez': datetime.datetime(2024, 8, 4, 0, 0)}",1879-1514,Aquat Toxicol,Polystyrene nanoplastics-induced intestinal barrier disruption via inflammation and apoptosis in zebrafish larvae (Danio Rerio).,274.0,274,2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39098124
60,"INTRODUCTION: Studies have shown that microplastics (MPs) and nanoplastics (NPs) could accumulate in the human body and pose a potential threat to human health. The purpose of this study is to evaluate the biodistribution and toxicity of MPs/NPs with different particle sizes comprehensively and thoroughly.
METHODS: The purpose of this study was to investigate the biodistribution and in vivo toxicity of polystyrene (PS) MPs/NPs with different sizes (50 nm, 100 nm, and 500 nm). The BALB/c mice were given 100 μL of PS50, PS100 and PS500 at the dosage of 1 mg/kg BW or 10 mg/kg BW, respectively, by gavage once a day. After 28 consecutive days of treatment, the biodistribution of differently sized PS MPs/NPs was determined through cryosection fluorescence microscopy and fluorescent microplate reader analysis, and the subsequent effects of differently sized PS MPs/NPs on histopathology, hematology and blood biochemistry were also evaluated.
RESULTS: The results showed that the three different sizes of PS MPs/NPs were distributed in the organs of mice, mainly in the liver, spleen, and intestine. At the same time, the smaller the particle size, the more they accumulate in the body and more easily penetrate the tissue. During the whole observation period, no abnormal behavior and weight change were observed. The results of H&E staining showed that no severe histopathological abnormalities were observed in the main organs in the low-dose exposure group, while. Exposure of three sizes of PS MPs/NPs could cause some changes in hematological parameters or biochemical parameters related to heart, liver, and kidney function; meanwhile, there were size- and dose-dependencies.
CONCLUSION: The biological distribution and toxicity of plastic particles in mice were more obvious with the decrease of particle size and the increase of concentration of plastic particles. Compared with MPs, NPs were easier to enter the tissues and produce changes in liver, kidney, and heart functions. Therefore, more attention should be paid to the toxicity of NPs.","['Du B', 'Li T', 'He H', 'Xu X', 'Zhang C', 'Lu X', 'Wang Y', 'Cao J', 'Lu Y', 'Liu Y', 'Hu S', 'Li J', 'Li L', 'Shi M']","{'D011137': {'substance_name': 'Polystyrenes', 'registry_number': '0'}, 'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}}","Du B, et al. Analysis of Biodistribution and in vivo Toxicity of Varying Sized Polystyrene Micro and Nanoplastics in Mice. Analysis of Biodistribution and in vivo Toxicity of Varying Sized Polystyrene Micro and Nanoplastics in Mice. 2024; 19:7617-7630. doi: 10.2147/IJN.S466258",10.2147/IJN.S466258,"{'received': datetime.datetime(2024, 2, 28, 0, 0), 'accepted': datetime.datetime(2024, 7, 4, 0, 0), 'medline': datetime.datetime(2024, 7, 31, 0, 0), 'pubmed': datetime.datetime(2024, 7, 31, 0, 0), 'entrez': datetime.datetime(2024, 7, 31, 0, 0), 'pmc-release': datetime.datetime(2024, 7, 26, 0, 0)}",1178-2013,Int J Nanomedicine,Analysis of Biodistribution and in vivo Toxicity of Varying Sized Polystyrene Micro and Nanoplastics in Mice.,19.0,19,2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39081896
65,"Microplastics (MPs) pervade the environment, infiltrating food sources and human bodies, raising concerns about their impact on human health. This review is focused on three key questions: (i) What type of polymers are humans most exposed to? (ii) What are the prevalent shapes of MPs found in food and human samples? (iii) Are the data influenced by the detection limit on the size of particles? Through a systematic literature analysis, we have explored data on polymer types and shapes found in food and human samples. The data provide evidence that polyester is the most commonly detected polymer in humans, followed by polyamide, polyurethane, polypropylene, and polyacrylate. Fibres emerge as the predominant shape across all categories, suggesting potential environmental contamination from the textile industry. Studies in humans and drinking water reported data on small particles, in contrast to larger size MPs detected in environmental research, in particular seafood. Discrepancies in size detection methodologies across different reports were identified, which could impact some of the discussed trends. This study highlights the need for more comprehensive research on the interactions between MPs and biological systems and the effects of MPs on toxicity, together with standardised analytical methodologies to accurately assess contamination levels and human exposure. Understanding these dynamics is essential for formulating effective strategies to mitigate the environmental and health implications of MP pollution.","['Vdovchenko A', 'Resmini M']","{'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}, 'D060766': {'substance_name': 'Drinking Water', 'registry_number': '0'}, 'D014874': {'substance_name': 'Water Pollutants, Chemical', 'registry_number': '0'}, 'D011108': {'substance_name': 'Polymers', 'registry_number': '0'}}","Vdovchenko A and Resmini M. Mapping Microplastics in Humans: Analysis of Polymer Types, and Shapes in Food and Drinking Water-A Systematic Review. Mapping Microplastics in Humans: Analysis of Polymer Types, and Shapes in Food and Drinking Water-A Systematic Review. 2024; 25:(unknown pages). doi: 10.3390/ijms25137074",10.3390/ijms25137074,"{'received': datetime.datetime(2024, 5, 14, 0, 0), 'revised': datetime.datetime(2024, 6, 5, 0, 0), 'accepted': datetime.datetime(2024, 6, 25, 0, 0), 'medline': datetime.datetime(2024, 7, 13, 0, 0), 'pubmed': datetime.datetime(2024, 7, 13, 0, 0), 'entrez': datetime.datetime(2024, 7, 13, 0, 0), 'pmc-release': datetime.datetime(2024, 6, 27, 0, 0)}",1422-0067,Int J Mol Sci,"Mapping Microplastics in Humans: Analysis of Polymer Types, and Shapes in Food and Drinking Water-A Systematic Review.",25.0,25(13),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/39000186
71,"Microplastics (MPs) are plastic particles between 0.1 and 5000 µm in size that have attracted considerable attention from the scientific community and the general public, as they threaten the environment. Microplastics contribute to various harmful effects, including lipid peroxidation, DNA damage, activation of mitogen-activated protein kinase pathways, cell membrane breakages, mitochondrial dysfunction, lysosomal defects, inflammation, and apoptosis. They affect cells, tissues, organs, and overall health, potentially contributing to conditions like cancer and cardiovascular disease. They pose a significant danger due to their widespread occurrence in food. In recent years, information has emerged indicating that MPs can cause oxidative stress (OS), a known factor in accelerating the aging of organisms. This comprehensive evaluation exposed notable variability in the reported connection between MPs and OS. This work aims to provide a critical review of whether the harmfulness of plastic particles that constitute environmental contaminants may result from OS through a comprehensive analysis of recent research and existing scientific literature, as well as an assessment of the characteristics of MPs causing OS. Additionally, the article covers the analytical methodology used in this field. The conclusions of this review point to the necessity for further research into the effects of MPs on OS.","['Kadac-Czapska K', 'Ośko J', 'Knez E', 'Grembecka M']",{},"Kadac-Czapska K, et al. Microplastics and Oxidative Stress-Current Problems and Prospects. Microplastics and Oxidative Stress-Current Problems and Prospects. 2024; 13:(unknown pages). doi: 10.3390/antiox13050579",10.3390/antiox13050579,"{'received': datetime.datetime(2024, 4, 15, 0, 0), 'revised': datetime.datetime(2024, 4, 29, 0, 0), 'accepted': datetime.datetime(2024, 5, 3, 0, 0), 'medline': datetime.datetime(2024, 5, 25, 0, 0), 'pubmed': datetime.datetime(2024, 5, 25, 0, 0), 'entrez': datetime.datetime(2024, 5, 25, 0, 0), 'pmc-release': datetime.datetime(2024, 5, 8, 0, 0)}",2076-3921,Antioxidants (Basel),Microplastics and Oxidative Stress-Current Problems and Prospects.,13.0,13(5),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/38790684
93,"The escalating prevalence of microplastics and nanoplastics in aquatic environments is a major challenge affecting the behavior and reproductive health of aquatic organisms while posing potential risks to human health and ecosystems. This review focuses on the neurobehavioral changes and reproductive toxicity of MNPs in zebrafish and their relationships. At the same time, the neurobehavioral changes caused by MNPs were studied, and the synergistic effects of the interaction of these pollutants with other environmental contaminants were explored. In addition, zebrafish, as a model organism, provide valuable insights into the subtle but important effects of MNPs on reproductive behavior, which is critical for understanding reproductive success, suggesting that behavioral changes can serve as an early biomarker of reproductive toxicity. In addition, based on classical endocrine disruptor models and behavioral research methods, the current status of the research on the reproductive toxicity of MNPs in zebrafish was reviewed, which further indicated that the behavioral parameters of zebrafish can be used as an effective and rapid tool to evaluate the reproductive toxicity of MNPs. However, behavioral methods for rapidly assessing the toxicity of MNPs are still an area of exploration. To address limitations and challenges in the current scope of research, this review outlines future research directions with the aim of improving our understanding of the environmental and health impacts of MNPs. This work aims to inform targeted environmental policies and advance public health strategies to address the growing challenge of MNPs pollution.","['Wu B', 'Yu H', 'Yi J', 'Lei P', 'He J', 'Ruan J', 'Xu P', 'Tao R', 'Jin L', 'Wu W', 'Yang Q', 'Sun D', 'Zhang X']",{},"Wu B, et al. Behavioral Studies of Zebrafish Reveal a New Perspective on the Reproductive Toxicity of Micro- and Nanoplastics. Behavioral Studies of Zebrafish Reveal a New Perspective on the Reproductive Toxicity of Micro- and Nanoplastics. 2024; 12:(unknown pages). doi: 10.3390/toxics12030178",10.3390/toxics12030178,"{'received': datetime.datetime(2024, 1, 31, 0, 0), 'revised': datetime.datetime(2024, 2, 19, 0, 0), 'accepted': datetime.datetime(2024, 2, 21, 0, 0), 'medline': datetime.datetime(2024, 3, 27, 0, 0), 'pubmed': datetime.datetime(2024, 3, 27, 0, 0), 'entrez': datetime.datetime(2024, 3, 27, 0, 0), 'pmc-release': datetime.datetime(2024, 2, 26, 0, 0)}",2305-6304,Toxics,Behavioral Studies of Zebrafish Reveal a New Perspective on the Reproductive Toxicity of Micro- and Nanoplastics.,12.0,12(3),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/38535911
95,"Waste disposal in landfills remains a global concern. Despite technological developments, landfill leachate poses a hazard to ecosystems and human health since it acts as a secondary reservoir for legacy and emerging pollutants. This study provides a systematic and scientometric review of the nature and toxicity of pollutants generated by landfills and means of assessing their potential risks. Regarding human health, unregulated waste disposal and pathogens in leachate are the leading causes of diseases reported in local populations. Both in vitro and in vivo approaches have been employed in the ecotoxicological risk assessment of landfill leachate, with model organisms ranging from bacteria to birds. These studies demonstrate a wide range of toxic effects that reflect the complex composition of leachate and geographical variations in climate, resource availability and management practices. Based on bioassay (and other) evidence, categories of persistent chemicals of most concern include brominated flame retardants, per- and polyfluorinated chemicals, pharmaceuticals and alkyl phenol ethoxylates. However, the emerging and more general literature on microplastic toxicity suggests that these particles might also be problematic in leachate. Various mitigation strategies have been identified, with most focussing on improving landfill design or leachate treatment, developing alternative disposal methods and reducing waste volume through recycling or using more sustainable materials. The success of these efforts will rely on policies and practices and their enforcement, which is seen as a particular challenge in developing nations and at the international (and transboundary) level. Artificial intelligence and machine learning afford a wide range of options for evaluating and reducing the risks associated with leachates and gaseous emissions from landfills, and various approaches tested or having potential are discussed. However, addressing the limitations in data collection, model accuracy, real-time monitoring and our understanding of environmental impacts will be critical for realising this potential.","['Gautam K', 'Pandey N', 'Yadav D', 'Parthasarathi R', 'Turner A', 'Anbumani S', 'Jha AN']","{'D014874': {'substance_name': 'Water Pollutants, Chemical', 'registry_number': '0'}}","Gautam K, et al. Ecotoxicological impacts of landfill sites: Towards risk assessment, mitigation policies and the role of artificial intelligence. Ecotoxicological impacts of landfill sites: Towards risk assessment, mitigation policies and the role of artificial intelligence. 2024; 927:171804. doi: 10.1016/j.scitotenv.2024.171804",10.1016/j.scitotenv.2024.171804,"{'received': datetime.datetime(2023, 12, 20, 0, 0), 'revised': datetime.datetime(2024, 3, 14, 0, 0), 'accepted': datetime.datetime(2024, 3, 16, 0, 0), 'medline': datetime.datetime(2024, 4, 24, 0, 0), 'pubmed': datetime.datetime(2024, 3, 22, 0, 0), 'entrez': datetime.datetime(2024, 3, 21, 0, 0)}",1879-1026,Sci Total Environ,"Ecotoxicological impacts of landfill sites: Towards risk assessment, mitigation policies and the role of artificial intelligence.",927.0,927,2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/38513865
105,"The widespread prevalence of micro and nanoplastics in the environment raises concerns about their potential impact on human health. Recent evidence demonstrates the presence of nanoplastics in human blood and tissues following ingestion and inhalation, yet the specific risks and mechanisms of nanoplastic toxicity remain inadequately understood. In this study, we aimed to explore the molecular mechanisms underlying the toxicity of nanoplastics at both systemic and molecular levels by analyzing the transcriptomic/metabolomic responses and signaling pathways in the intestines of mice after oral administration of nanoplastics. Transcriptome analysis in nanoplastic-administered mice revealed a notable upregulation of genes involved in pro-inflammatory immune responses. In addition, nanoplastics substantially reduced the expression of tight junction proteins, including occludin, zonula occluden-1, and tricellulin, which are crucial for maintaining gut barrier integrity and function. Importantly, nanoplastic administration increased gut permeability and exacerbated dextran sulfate sodium-induced colitis. Further investigation into the underlying molecular mechanisms highlighted significant activation of signaling transsducer and activator of transcription (STAT)1 and STAT6 by nanoplastic administration, which was in line with the elevation of interferon and JAK-STAT pathway signatures identified through transcriptome enrichment analysis. Additionally, the consumption of nanoplastics specifically induced nuclear factor kappa-B (NF-κB) and extracellular signal-regulated kinase (ERK)1/2 signaling pathways in the intestines. Collectively, this study identifies molecular mechanisms contributing to adverse effects mediated by nanoplastics in the intestine, providing novel insights into the pathophysiological consequences of nanoplastic exposure.","['Kim DH', 'Lee S', 'Ahn J', 'Kim JH', 'Lee E', 'Lee I', 'Byun S']","{'D050794': {'substance_name': 'STAT1 Transcription Factor', 'registry_number': '0'}, 'D050800': {'substance_name': 'STAT6 Transcription Factor', 'registry_number': '0'}, 'C494080': {'substance_name': 'Stat1 protein, mouse', 'registry_number': '0'}}","Kim DH, et al. Transcriptomic and metabolomic analysis unveils nanoplastic-induced gut barrier dysfunction via STAT1/6 and ERK pathways. Transcriptomic and metabolomic analysis unveils nanoplastic-induced gut barrier dysfunction via STAT1/6 and ERK pathways. 2024; 249:118437. doi: 10.1016/j.envres.2024.118437",10.1016/j.envres.2024.118437,"{'received': datetime.datetime(2023, 11, 27, 0, 0), 'revised': datetime.datetime(2024, 1, 18, 0, 0), 'accepted': datetime.datetime(2024, 2, 5, 0, 0), 'medline': datetime.datetime(2024, 5, 3, 0, 0), 'pubmed': datetime.datetime(2024, 2, 13, 0, 0), 'entrez': datetime.datetime(2024, 2, 12, 0, 0)}",1096-0953,Environ Res,Transcriptomic and metabolomic analysis unveils nanoplastic-induced gut barrier dysfunction via STAT1/6 and ERK pathways.,249.0,249,2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/38346486
114,"Pollution from plastic debris and microplastics (MPs) is a worldwide issue. Classified as emerging contaminants, MPs have become widespread and have been found not only in terrestrial and aquatic ecosystems but also within the food chain, which affects both the environment and human health. Since the outbreak of COVID-19, the consumption of single-use plastics has drastically increased, intensifying mismanaged plastic waste in countries such as Ecuador. Therefore, the aim of this review is to 1) summarize the state of MP-related knowledge, focusing on studies conducted with environmental matrices, biota, and food, and 2) analyze the efforts by different national authorities and entities in Ecuador to control MP contamination. Results showed a limited number of studies have been done in Ecuador, which have mainly focused on the surface water of coastal areas, followed by studies on sediment and food. MPs were identified in all samples, indicating the lack of wastewater management policies, deficient management of solid wastes, and the contribution of anthropogenic activities such as artisanal fishing and aquaculture to water ecosystem pollution, which affects food webs. Moreover, studies have shown that food contamination can occur through atmospheric deposition of MPs; however, ingredients and inputs from food production, processing, and packaging, as well as food containers, contribute to MP occurrence in food. Further research is needed to develop more sensitive, precise, and reliable detection methods and assess MPs' impact on terrestrial and aquatic ecosystems, biota, and human health. In Ecuador specifically, implementing wastewater treatment plants in major cities, continuously monitoring MP coastal contamination, and establishing environmental and food safety regulations are crucial. Additionally, national authorities need to develop programs to raise public awareness of plastic use and its environmental effects, as well as MP exposure's effects on human health.","['Vélez-Terreros PY', 'Romero-Estévez D', 'Yánez-Jácome GS']",{},"Vélez-Terreros PY, et al. Microplastics in Ecuador: A review of environmental and health-risk assessment challenges. Microplastics in Ecuador: A review of environmental and health-risk assessment challenges. 2024; 10:e23232. doi: 10.1016/j.heliyon.2023.e23232",10.1016/j.heliyon.2023.e23232,"{'received': datetime.datetime(2023, 6, 29, 0, 0), 'revised': datetime.datetime(2023, 10, 26, 0, 0), 'accepted': datetime.datetime(2023, 11, 29, 0, 0), 'medline': datetime.datetime(2024, 1, 2, 0, 0), 'pubmed': datetime.datetime(2024, 1, 2, 0, 0), 'entrez': datetime.datetime(2024, 1, 1, 0, 0), 'pmc-release': datetime.datetime(2023, 12, 3, 0, 0)}",2405-8440,Heliyon,Microplastics in Ecuador: A review of environmental and health-risk assessment challenges.,10.0,10(1),2024, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/38163182
121,"BACKGROUND: Microplastics and nanoplastics (MNPs) are emerging environmental contaminants detected in human samples, and have raised concerns regarding their potential risks to human health, particularly neurotoxicity. This study aimed to investigate the deleterious effects of polystyrene nanoplastics (PS-NPs, 50 nm) and understand their mechanisms in inducing Parkinson's disease (PD)-like neurodegeneration, along with exploring preventive strategies.
METHODS: Following exposure to PS-NPs (0.5-500 μg/mL), we assessed cytotoxicity, mitochondrial integrity, ATP levels, and mitochondrial respiration in dopaminergic-differentiated SH-SY5Y cells. Molecular docking and dynamic simulations explored PS-NPs' interactions with mitochondrial complexes. We further probed mitophagy's pivotal role in PS-NP-induced mitochondrial damage and examined melatonin's ameliorative potential in vitro. We validated melatonin's intervention (intraperitoneal, 10 mg/kg/d) in C57BL/6 J mice exposed to 250 mg/kg/d of PS-NPs for 28 days.
RESULTS: In our in vitro experiments, we observed PS-NP accumulation in cells, including mitochondria, leading to cell toxicity and reduced viability. Notably, antioxidant treatment failed to fully rescue viability, suggesting reactive oxygen species (ROS)-independent cytotoxicity. PS-NPs caused significant mitochondrial damage, characterized by altered morphology, reduced mitochondrial membrane potential, and decreased ATP production. Subsequent investigations pointed to PS-NP-induced disruption of mitochondrial respiration, potentially through interference with complex I (CI), a concept supported by molecular docking studies highlighting the influence of PS-NPs on CI. Rescue experiments using an AMPK pathway inhibitor (compound C) and an autophagy inhibitor (3-methyladenine) revealed that excessive mitophagy was induced through AMPK/ULK1 pathway activation, worsening mitochondrial damage and subsequent cell death in differentiated SH-SY5Y cells. Notably, we identified melatonin as a potential protective agent, capable of alleviating PS-NP-induced mitochondrial dysfunction. Lastly, our in vivo experiments demonstrated that melatonin could mitigate dopaminergic neuron loss and motor impairments by restoring mitophagy regulation in mice.
CONCLUSIONS: Our study demonstrated that PS-NPs disrupt mitochondrial function by affecting CI, leading to excessive mitophagy through the AMPK/ULK1 pathway, causing dopaminergic neuron death. Melatonin can counteract PS-NP-induced mitochondrial dysfunction and motor impairments by regulating mitochondrial autophagy. These findings offer novel insights into the MNP-induced PD-like neurodegenerative mechanisms, and highlight melatonin's protective potential in mitigating the MNP's environmental risk.","['Huang Y', 'Liang B', 'Li Z', 'Zhong Y', 'Wang B', 'Zhang B', 'Du J', 'Ye R', 'Xian H', 'Min W', 'Yan X', 'Deng Y', 'Feng Y', 'Bai R', 'Fan B', 'Yang X', 'Huang Z']","{'D055372': {'substance_name': 'AMP-Activated Protein Kinases', 'registry_number': 'EC 2.7.11.31'}, 'D011137': {'substance_name': 'Polystyrenes', 'registry_number': '0'}, 'D000080545': {'substance_name': 'Microplastics', 'registry_number': '0'}, 'D008550': {'substance_name': 'Melatonin', 'registry_number': 'JL5DK93RCL'}, 'D010969': {'substance_name': 'Plastics', 'registry_number': '0'}, 'D017382': {'substance_name': 'Reactive Oxygen Species', 'registry_number': '0'}, 'D000255': {'substance_name': 'Adenosine Triphosphate', 'registry_number': '8L70Q75FXE'}, 'C484754': {'substance_name': 'ULK1 protein, human', 'registry_number': 'EC 2.7.11.1'}, 'D000071189': {'substance_name': 'Autophagy-Related Protein-1 Homolog', 'registry_number': 'EC 2.7.11.1'}, 'D047908': {'substance_name': 'Intracellular Signaling Peptides and Proteins', 'registry_number': '0'}}","Huang Y, et al. Polystyrene nanoplastic exposure induces excessive mitophagy by activating AMPK/ULK1 pathway in differentiated SH-SY5Y cells and dopaminergic neurons in vivo. Polystyrene nanoplastic exposure induces excessive mitophagy by activating AMPK/ULK1 pathway in differentiated SH-SY5Y cells and dopaminergic neurons in vivo. 2023; 20:44. doi: 10.1186/s12989-023-00556-4",10.1186/s12989-023-00556-4,"{'received': datetime.datetime(2023, 8, 22, 0, 0), 'accepted': datetime.datetime(2023, 11, 14, 0, 0), 'medline': datetime.datetime(2023, 11, 27, 0, 0), 'pubmed': datetime.datetime(2023, 11, 23, 0, 0), 'entrez': datetime.datetime(2023, 11, 23, 0, 0), 'pmc-release': datetime.datetime(2023, 11, 22, 0, 0)}",1743-8977,Part Fibre Toxicol,Polystyrene nanoplastic exposure induces excessive mitophagy by activating AMPK/ULK1 pathway in differentiated SH-SY5Y cells and dopaminergic neurons in vivo.,20.0,20(1),2023, 'Journal Article',https://ncbi.nlm.nih.gov/pubmed/37993864
